date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:34	86707/86707	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:34%20GMT	https://sites.google.com/view/yimaia/landing-page	webval/projprojdiva/sites.google.com/view/yimaia/landing-page.html	(from )
00:11:34	81936/81936	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:34%20GMT	https://sites.google.com/view/yimaia/a/arbeiten?authuser=0	webval/projprojdiva/sites.google.com/view/yimaia/a/arbeitene486.html	(from )
00:11:34	82430/82430	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:34%20GMT	https://sites.google.com/view/yimaia/a/b?authuser=0	webval/projprojdiva/sites.google.com/view/yimaia/a/be486.html	(from )
00:11:35	99317/99317	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:35%20GMT	https://sites.google.com/view/yimaia/%c3%bcber-mich?authuser=0	webval/projprojdiva/sites.google.com/view/yimaia/%c3%bcber-miche486.html	(from )
00:11:35	77/77	---MCZ	200	added ('OK')	text/plain	date:Thu,%2024%20Nov%202022%2023:11:35%20GMT	https://sites.google.com/robots.txt		(from )
00:11:35	336/336	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2024%20Nov%202022%2023:11:35%20GMT	https://sites.google.com/	webval/projprojdiva/sites.google.com/index.html	(from )
00:11:35	88366/88366	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:35%20GMT	https://sites.google.com/view/yimaia/anfrage	webval/projprojdiva/sites.google.com/view/yimaia/anfrage.html	(from https://sites.google.com/view/yimaia/landing-page)
00:11:36	352/352	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2024%20Nov%202022%2023:11:36%20GMT	https://sites.google.com/new/	webval/projprojdiva/sites.google.com/new/index.html	(from https://sites.google.com/view/yimaia/landing-page)
00:11:36	360/360	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2024%20Nov%202022%2023:11:36%20GMT	https://sites.google.com/new/?usp	webval/projprojdiva/sites.google.com/new/index7558.html	(from https://sites.google.com/view/yimaia/landing-page)
00:11:36	81629/81629	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:36%20GMT	https://sites.google.com/view/yimaia/a/arbeiten	webval/projprojdiva/sites.google.com/view/yimaia/a/arbeiten.html	(from https://sites.google.com/view/yimaia/landing-page)
00:11:36	82797/82797	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:36%20GMT	https://sites.google.com/view/yimaia/a/b	webval/projprojdiva/sites.google.com/view/yimaia/a/b.html	(from https://sites.google.com/view/yimaia/landing-page)
00:11:36	99685/99685	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:37%20GMT	https://sites.google.com/view/yimaia/%c3%bcber-mich	webval/projprojdiva/sites.google.com/view/yimaia/%c3%bcber-mich.html	(from https://sites.google.com/view/yimaia/landing-page)
00:11:37	84146/84146	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:37%20GMT	https://sites.google.com/view/yimaia/warenkorb	webval/projprojdiva/sites.google.com/view/yimaia/warenkorb.html	(from https://sites.google.com/view/yimaia/landing-page)
00:11:37	81705/81705	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:37%20GMT	https://sites.google.com/view/yimaia/a/arbeiten?authuser	webval/projprojdiva/sites.google.com/view/yimaia/a/arbeitenfd93.html	(from https://sites.google.com/view/yimaia/a/arbeiten?authuser=0)
00:11:38	82720/82720	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:38%20GMT	https://sites.google.com/view/yimaia/a/b?authuser	webval/projprojdiva/sites.google.com/view/yimaia/a/bfd93.html	(from https://sites.google.com/view/yimaia/a/b?authuser=0)
00:11:38	99348/99348	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Nov%202022%2023:11:38%20GMT	https://sites.google.com/view/yimaia/%c3%bcber-mich?authuser	webval/projprojdiva/sites.google.com/view/yimaia/%c3%bcber-michfd93.html	(from https://sites.google.com/view/yimaia/%c3%bcber-mich?authuser=0)
00:11:38	80395/80395	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Nov%202022%2023:11:39%20GMT	https://sites.google.com/view/yimaia/%22https://app.ecwid.com/script.js?82228876&data_platform=code&data_date=2022-11-08%22	webval/projprojdiva/sites.google.com/view/yimaia/_https_/app.ecwid.com/script.c52f3.delayed	(from https://sites.google.com/view/yimaia/anfrage)
00:11:39	80239/80239	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Nov%202022%2023:11:39%20GMT	https://sites.google.com/view/yimaia/%22https://app.ecwid.com/script.js?82228876&data_platform=code&data_date=2022-11-12%22	webval/projprojdiva/sites.google.com/view/yimaia/_https_/app.ecwid.com/script.d4f27.delayed	(from https://sites.google.com/view/yimaia/anfrage)
